cefr_level,category,lemma,term,translation,article,aliases
A1,nouns,Tisch,der Tisch,table,der,
A1,nouns,Buch,das Buch,book,das,
A1,nouns,Haus,das Haus,house,das,
A1,nouns,Stadt,die Stadt,city,die,
A1,nouns,Schule,die Schule,school,die,
A1,nouns,Arbeit,die Arbeit,work,die,
A1,nouns,Freund,der Freund,friend,der,
A1,nouns,Familie,die Familie,family,die,
A1,nouns,Frage,die Frage,question,die,
A1,nouns,Antwort,die Antwort,answer,die,
A1,nouns,Zeit,die Zeit,time,die,
A1,nouns,Tag,der Tag,day,der,
A1,nouns,Abend,der Abend,evening,der,
A1,nouns,Morgen,der Morgen,morning,der,
A1,nouns,Stunde,die Stunde,hour,die,
A1,nouns,Sprache,die Sprache,language,die,
A1,nouns,Name,der Name,name,der,
A1,nouns,Wasser,das Wasser,water,das,
A1,nouns,Brot,das Brot,bread,das,
A1,nouns,Straße,die Straße,street,die,
A1,verbs,sein,sein,to be,,
A1,verbs,haben,haben,to have,,
A1,verbs,gehen,gehen,to go,,
A1,verbs,kommen,kommen,to come,,
A1,verbs,machen,machen,to do,,
A1,verbs,lernen,lernen,to learn,,
A1,verbs,sprechen,sprechen,to speak,,
A1,verbs,wohnen,wohnen,to live,,
A1,verbs,brauchen,brauchen,to need,,
A1,verbs,finden,finden,to find,,
A1,verbs,fragen,fragen,to ask,,
A1,verbs,arbeiten,arbeiten,to work,,
A1,verbs,lesen,lesen,to read,,
A1,verbs,schreiben,schreiben,to write,,
A1,verbs,hören,hören,to hear,,
A1,verbs,trinken,trinken,to drink,,
A1,verbs,essen,essen,to eat,,
A1,adjectives,gut,gut,good,,
A1,adjectives,klein,klein,small,,
A1,adjectives,groß,groß,big,,
A1,adjectives,neu,neu,new,,
A1,adjectives,alt,alt,old,,
A1,adjectives,wichtig,wichtig,important,,
A1,adjectives,richtig,richtig,correct,,
A1,adjectives,einfach,einfach,simple,,
A1,adjectives,deutsch,deutsch,German,,
A1,adjectives,schnell,schnell,fast,,
A1,adjectives,langsam,langsam,slow,,
A1,adverbs,heute,heute,today,,
A1,adverbs,morgen,morgen,tomorrow,,
A1,adverbs,dort,dort,there,,
A1,adverbs,hier,hier,here,,
A1,adverbs,gern,gern,gladly,,
A1,adverbs,immer,immer,always,,
A1,adverbs,oft,oft,often,,
A1,prepositions,in,in,in,,
A1,prepositions,an,an,on,,
A1,prepositions,auf,auf,on top of,,
A1,prepositions,mit,mit,with,,
A1,prepositions,für,für,for,,
A1,prepositions,ohne,ohne,without,,
A1,prepositions,unter,unter,under,,
A1,prepositions,über,über,over,,
A1,phrases,guten morgen,Guten Morgen,good morning,,
A1,phrases,wie geht es dir,Wie geht es dir?,how are you,,
A1,phrases,ich verstehe nicht,Ich verstehe nicht.,I do not understand,,
A1,phrases,vielen dank,Vielen Dank,thank you very much,,
A1,phrases,bis später,Bis später,see you later,,
A1,prepositions,zu,zu,to,,
A1,prepositions,von,von,from,,
A1,prepositions,bei,bei,at,,
A1,adverbs,wie,wie,as,,
A1,prepositions,aus,aus,out of,,
A1,prepositions,nach,nach,after,,
A1,adverbs,noch,noch,have yet to …,,
A1,adverbs,nur,nur,other than,,
A1,nouns,Werden,der Werden,development,der,
A1,prepositions,um,um,around,,
A1,adverbs,da,da,when,,
A1,adverbs,dann,dann,then,,
A1,adverbs,schon,schon,just,,
A1,nouns,Haben,der Haben,possessions,der,
A1,nouns,Mehr,der Mehr,increase,der,
A1,prepositions,vor,vor,before,,
A1,nouns,Mal,der Mal,time,der,
A1,prepositions,durch,durch,through,,
A1,prepositions,bis,bis,until,,
A1,adverbs,jetzt,jetzt,now,,
A1,verbs,werden,werden,was,,
A1,nouns,Schon,der Schon,Scania,der,
A1,nouns,Von,der Von,votes,der,
A2,nouns,Entscheidung,die Entscheidung,decision,die,
A2,nouns,Beispiel,das Beispiel,example,das,
A2,nouns,Erfahrung,die Erfahrung,experience,die,
A2,nouns,Möglichkeit,die Möglichkeit,possibility,die,
A2,nouns,Problem,das Problem,problem,das,
A2,nouns,Reise,die Reise,trip,die,
A2,nouns,Meinung,die Meinung,opinion,die,
A2,nouns,Geschichte,die Geschichte,story,die,
A2,nouns,Nachricht,die Nachricht,message,die,
A2,nouns,Wohnung,die Wohnung,apartment,die,
A2,nouns,Umgebung,die Umgebung,surroundings,die,
A2,nouns,Lösung,die Lösung,solution,die,
A2,verbs,verstehen,verstehen,to understand,,
A2,verbs,erklären,erklären,to explain,,
A2,verbs,bedeuten,bedeuten,to mean,,
A2,verbs,erzählen,erzählen,to tell,,
A2,verbs,beginnen,beginnen,to begin,,
A2,verbs,vergessen,vergessen,to forget,,
A2,verbs,bezahlen,bezahlen,to pay,,
A2,verbs,treffen,treffen,to meet,,
A2,verbs,ändern,ändern,to change,,
A2,verbs,besuchen,besuchen,to visit,,
A2,adjectives,schwierig,schwierig,difficult,,
A2,adjectives,bequem,bequem,comfortable,,
A2,adjectives,deutlich,deutlich,clear,,
A2,adjectives,freundlich,freundlich,friendly,,
A2,adjectives,pünktlich,pünktlich,punctual,,
A2,adjectives,möglich,möglich,possible,,
A2,adjectives,verschieden,verschieden,different,,
A2,adjectives,interessant,interessant,interesting,,
A2,adjectives,gesund,gesund,healthy,,
A2,adverbs,vielleicht,vielleicht,perhaps,,
A2,adverbs,bereits,bereits,already,,
A2,adverbs,zusammen,zusammen,together,,
A2,adverbs,besonders,besonders,especially,,
A2,adverbs,wirklich,wirklich,really,,
A2,prepositions,zwischen,zwischen,between,,
A2,prepositions,gegen,gegen,against,,
A2,prepositions,seit,seit,since,,
A2,prepositions,während,während,during,,
A2,prepositions,wegen,wegen,because of,,
A2,phrases,ich bin der meinung,Ich bin der Meinung,I am of the opinion,,
A2,phrases,können sie das wiederholen,Können Sie das wiederholen?,Could you repeat that?,,
A2,phrases,es kommt darauf an,Es kommt darauf an.,It depends.,,
A2,phrases,meiner meinung nach,Meiner Meinung nach,in my opinion,,
A2,phrases,ich habe eine frage,Ich habe eine Frage.,I have a question.,,
A2,adverbs,wieder,wieder,again,,
A2,adverbs,sehr,sehr,damned,,
A2,nouns,Können,der Können,workmanship,der,
A2,adverbs,also,also,so,,
A2,prepositions,ab,ab,from,,
A2,adverbs,ganz,ganz,all of,,
A2,adverbs,damit,damit,thereby,,
A2,nouns,Etwas,der Etwas,something,der,
A2,nouns,Zwei,der Zwei,deuce,der,
A2,adverbs,selbst,selbst,personally,,
A2,adverbs,wo,wo,when,,
A2,nouns,Nichts,der Nichts,emptiness,der,
A2,adverbs,nun,nun,now,,
A2,nouns,Leben,der Leben,life,der,
A2,nouns,Machen,das Machen,leverage,das,
A2,nouns,Deutschland,der Deutschland,Germany,der,
A2,nouns,Jahr,der Jahr,year,der,
A2,nouns,Ob,der Ob,Ob,der,
A2,adverbs,dabei,dabei,with it,,
A2,verbs,müssen,müssen,want,,
A2,nouns,Gerade,die Gerade,straight line,die,
A2,verbs,sondern,sondern,but,,
A2,adverbs,erst,erst,only just,,
A2,verbs,lassen,lassen,let,,
A2,adverbs,warum,warum,why,,
A2,adverbs,weiter,weiter,broader,,
A2,nouns,Mann,der Mann,husband,der,
A2,nouns,Wohl,der Wohl,well-being,der,
A2,nouns,Drei,der Drei,three,der,
A2,adverbs,dazu,dazu,it,,
A2,nouns,Wollen,der Wollen,volition,der,
A2,nouns,Bitte,die Bitte,plea,die,
A2,nouns,Gut,der Gut,Bessi,der,
A2,nouns,Ganz,der Ganz,whole,der,
A2,adverbs,lassen,lassen,equanimous,,
A2,adverbs,einfach,einfach,more frugal,,
A2,adjectives,ganz,ganz,whole,,
A2,verbs,leben,leben,lived,,
A2,adjectives,ob,ob,upper,,
A2,verbs,wollen,wollen,intentionally,,
A2,nouns,Macht,der Macht,mights,der,
A2,adjectives,unter,unter,bottommost,,
B1,nouns,Gesellschaft,die Gesellschaft,society,die,
B1,nouns,Entwicklung,die Entwicklung,development,die,
B1,nouns,Verhalten,das Verhalten,behavior,das,
B1,nouns,Bereich,der Bereich,area,der,
B1,nouns,Zusammenhang,der Zusammenhang,connection,der,
B1,nouns,Erfolg,der Erfolg,success,der,
B1,nouns,Forschung,die Forschung,research,die,
B1,nouns,Angebot,das Angebot,offer,das,
B1,nouns,Verbesserung,die Verbesserung,improvement,die,
B1,nouns,Beziehung,die Beziehung,relationship,die,
B1,nouns,Verantwortung,die Verantwortung,responsibility,die,
B1,nouns,Voraussetzung,die Voraussetzung,requirement,die,
B1,nouns,Kenntnis,die Kenntnis,knowledge,die,
B1,nouns,Bericht,der Bericht,report,der,
B1,verbs,entscheiden,entscheiden,to decide,,
B1,verbs,vergleichen,vergleichen,to compare,,
B1,verbs,vermeiden,vermeiden,to avoid,,
B1,verbs,unterstützen,unterstützen,to support,,
B1,verbs,beschreiben,beschreiben,to describe,,
B1,verbs,bemerken,bemerken,to notice,,
B1,verbs,entwickeln,entwickeln,to develop,,
B1,verbs,erhöhen,erhöhen,to increase,,
B1,verbs,reduzieren,reduzieren,to reduce,,
B1,verbs,gelten,gelten,to apply,,
B1,adjectives,notwendig,notwendig,necessary,,
B1,adjectives,öffentlich,öffentlich,public,,
B1,adjectives,beruflich,beruflich,professional,,
B1,adjectives,vollständig,vollständig,complete,,
B1,adjectives,nachhaltig,nachhaltig,sustainable,,
B1,adjectives,abhängig,abhängig,dependent,,
B1,adjectives,wertvoll,wertvoll,valuable,,
B1,adjectives,sinnvoll,sinnvoll,meaningful,,
B1,adverbs,dennoch,dennoch,nevertheless,,
B1,adverbs,meistens,meistens,mostly,,
B1,adverbs,außerdem,außerdem,besides,,
B1,adverbs,deshalb,deshalb,therefore,,
B1,adverbs,zunächst,zunächst,initially,,
B1,prepositions,innerhalb,innerhalb,within,,
B1,prepositions,außerhalb,außerhalb,outside of,,
B1,prepositions,gemäß,gemäß,according to,,
B1,prepositions,trotz,trotz,despite,,
B1,phrases,im vergleich zu,Im Vergleich zu,in comparison to,,
B1,phrases,es handelt sich um,Es handelt sich um,It is about,,
B1,phrases,auf diese weise,Auf diese Weise,in this way,,
B1,phrases,schritt für schritt,Schritt für Schritt,step by step,,
B1,phrases,zur gleichen zeit,Zur gleichen Zeit,at the same time,,
B1,verbs,geben,geben,gives,,
B1,nouns,Sollen,der Sollen,debit,der,
B1,nouns,Mensch,der Mensch,people,der,
B1,nouns,Neu,der Neu,new member,der,
B1,verbs,sollen,sollen,merit sth.,,
B1,nouns,Sehen,der Sehen,eyesight,der,
B1,nouns,Berlin,der Berlin,Berlin,der,
B1,adverbs,dafür,dafür,for it,,
B1,nouns,Sagen,der Sagen,legends,der,
B1,nouns,Deutsch,der Deutsch,Huns,der,
B1,nouns,Ende,die Ende,termination,die,
B1,adverbs,nie,nie,hardly ever,,
B1,nouns,Uhr,der Uhr,clock,der,
B1,nouns,Weg,der Weg,alley,der,
B1,adverbs,einmal,einmal,once,,
B1,nouns,Frau,der Frau,woman,der,
B1,adverbs,genau,genau,particular,,
B1,nouns,Danke,die Danke,thanks,die,
B1,adverbs,gar,gar,done,,
B1,nouns,Leute,die Leute,dudes,die,
B1,adverbs,etwa,etwa,for example,,
B1,adverbs,natürlich,natürlich,native,,
B1,nouns,Recht,der Recht,right,der,
B1,nouns,Kind,der Kind,children,der,
B1,nouns,Geld,der Geld,money,der,
B1,adverbs,gleich,gleich,in the first place,,
B1,adverbs,lange,lange,long,,
B1,nouns,Teil,der Teil,portion,der,
B1,adverbs,davon,davon,of them,,
B1,adverbs,eigentlich,eigentlich,actually,,
B1,adverbs,fast,fast,almost,,
B1,nouns,Tun,der Tun,doing,der,
B1,verbs,denen,denen,those,,
B1,verbs,sehen,sehen,views,,
B1,adverbs,zurück,zurück,back,,
B1,adverbs,jedoch,jedoch,however,,
B1,nouns,Klar,der Klar,egg-white,der,
B1,nouns,Paar,der Paar,couple,der,
B1,nouns,Wissen,der Wissen,knowledge,der,
B1,nouns,Fall,der Fall,case,der,
B1,adverbs,sicher,sicher,certain,,
B1,adverbs,darauf,darauf,on,,
B1,verbs,meinen,meinen,think,,
B1,nouns,Nein,der Nein,no,der,
B1,adverbs,schön,schön,fair,,
